TSNE1,TSNE2,Cluster
-21.593561,-10.624202,1
-5.1214356,28.673578,0
15.417074,-5.1206155,1
-68.196304,9.590551,0
3.0177093,-21.298567,1
54.17312,-40.47149,1
-15.307904,-13.698777,1
6.727912,-4.678071,1
27.68954,-67.942635,1
-96.08043,13.824659,0
-29.97116,62.084023,0
-14.898425,58.50836,0
-44.568344,41.61025,0
-56.305428,-17.166393,0
-76.21403,-2.737635,0
70.05145,-1.265509,1
-41.181427,-13.920721,1
-10.587894,-14.619149,1
-26.884722,5.8607717,0
-13.399235,60.167522,0
-43.040695,-48.56695,1
-69.901,-5.233044,0
28.379587,-39.969948,1
58.168835,58.22159,1
-12.68482,2.837343,0
-39.569485,-30.97436,1
55.887333,19.591314,1
7.3572583,-79.959854,1
-9.408437,5.268511,0
14.573174,37.246483,1
-64.35957,1.8545024,0
29.977407,-2.3366573,1
-7.9685864,17.422201,1
20.863695,10.818771,0
7.7816033,-74.66326,1
-34.545856,57.298634,0
61.163902,43.819714,1
-90.731415,16.155878,0
19.753782,65.79049,1
-27.571959,-31.608702,1
5.1038523,6.7882853,1
-57.09277,35.108902,0
-5.4867706,-54.326473,1
53.14976,18.590496,1
3.1826885,-55.133427,1
26.39214,-31.250874,1
68.537964,-58.6104,1
-83.7346,9.511531,0
-35.332752,55.76516,0
3.3229017,22.567577,1
103.264,-9.347296,1
72.77717,-51.364075,1
-64.4944,-27.071865,0
-4.0924053,-23.342258,1
22.648045,-13.197638,0
-11.841854,17.631193,1
43.78107,-22.499268,1
-12.865996,-3.0300515,0
19.753782,65.79049,1
-25.567173,-73.89388,1
11.1405525,-8.077628,1
-41.030846,-45.61011,1
106.31975,-0.5642614,1
65.72829,-29.708822,1
-19.19545,18.353786,0
36.881958,0.006925113,1
-0.47603288,-56.022476,1
-40.61045,-43.43512,1
11.3450985,-39.030277,1
19.753782,65.79049,1
101.441025,11.024467,1
-40.943657,-57.0866,1
22.952219,-42.409637,1
-45.4516,26.860813,0
-72.236435,-29.176643,0
-16.862057,-60.3254,1
35.394054,-15.751893,1
-39.84428,-56.097424,1
69.20117,-0.7025568,1
11.008,-87.75922,1
