TSNE1,TSNE2,Cluster
101.14908,2.4928691,4
104.09968,-7.2680435,4
103.62625,-8.490118,4
39.301,-14.377918,2
-31.556265,-32.0156,2
15.774752,38.247932,2
78.74665,-23.181862,4
77.824936,25.746414,4
-2.1824303,4.1607018,2
-27.986298,5.3318605,2
-23.001934,45.9239,2
97.88737,13.316182,4
-38.346687,21.08334,2
4.826229,-52.752316,2
-9.402425,-16.446724,2
-71.22241,-18.435259,2
46.35862,-56.334126,2
-2.2327266,-79.44447,2
-20.62499,-16.507345,2
-51.08691,33.4661,3
-22.632309,-28.751822,2
-16.45186,-25.687475,2
30.971622,-39.39509,2
-42.80673,-48.95239,2
-42.09642,-45.688995,2
19.753782,65.79049,1
-15.389995,-13.842419,2
-10.679836,3.8397255,2
-22.811913,-8.6435995,2
-33.16826,73.456726,3
-5.2712464,-76.896194,2
6.4167914,-28.065308,2
0.55698335,-22.137053,2
11.943578,-90.66728,2
-33.41031,-59.11101,2
-25.264717,-85.66127,2
19.23857,64.262405,1
62.0538,43.687637,4
22.763409,11.387158,2
19.23857,64.262405,1
-43.119133,9.159667,2
22.784353,-66.762245,2
-30.730673,18.451107,2
-29.423754,-45.041958,2
-15.014604,-58.248966,2
-36.315872,-41.700874,2
43.76638,-22.16855,2
-70.136215,-3.82418,2
-26.194555,46.1722,2
-36.153496,-35.24251,2
-63.06098,-15.860089,2
52.41862,81.15291,1
17.235338,-74.870705,2
3.3503864,28.442783,2
19.746058,63.177677,1
-3.449441,-32.39795,2
65.18429,-1.1109267,4
68.81158,-58.37705,2
-5.1243153,18.387938,2
-29.635536,-79.86627,2
-60.678337,25.480795,0
66.07919,-34.97599,2
-9.138179,39.21648,2
-3.037105,-51.42548,2
35.375618,-27.15884,2
-32.868095,16.010494,2
45.679333,-53.107666,2
-41.835617,-50.080128,2
-33.30472,75.403725,3
70.06615,28.474806,4
44.0179,-0.50614053,4
-41.21113,-45.492702,2
-14.518939,-34.23499,2
27.88265,-25.449684,2
-57.25028,3.3551762,2
105.119354,-4.9166665,4
87.92377,38.912308,4
39.26385,-23.214293,2
19.531721,66.932076,1
-32.326485,62.861717,3
94.658806,15.622965,4
21.014967,-81.190384,2
11.939761,-90.55488,2
68.52893,-31.458284,4
35.28747,-18.014086,2
-73.792946,1.0723308,2
64.490616,19.813326,4
35.596436,-16.078,2
-28.102959,21.70841,2
-0.6560403,-85.34704,2
-26.158726,-5.647909,2
-41.37769,-10.212184,2
-0.89677536,5.1431093,2
18.077099,63.24847,1
-35.43236,68.1296,3
-90.06298,27.284142,0
15.996034,-77.21446,2
-37.544846,50.378017,2
-27.720867,-17.675428,2
-41.87716,13.49857,2
2.8453171,-34.252632,2
-56.044167,33.76925,2
106.39363,3.5357108,4
-62.568897,7.1555552,2
-29.906528,-40.181606,2
-34.614094,-79.145874,2
-38.867218,-8.552461,2
-41.78306,-11.615461,2
-37.680443,2.9492855,2
35.180286,-15.744417,2
18.759174,-40.107483,2
-68.98765,-31.758892,2
89.68244,-27.180998,4
